PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,year,year_str
Allen Iverson,PHI,71,42.0,31.1,10.7,25.5,42.0,1.4,4.3,32.0,8.2,10.1,81.4,0.7,3.1,3.8,4.6,2.5,0.3,3.3,22.3,2000-01-01,2000
Jerry Stackhouse,DET,80,40.2,29.8,9.7,24.1,40.2,2.1,5.9,35.1,8.3,10.1,82.2,1.2,2.7,3.9,5.1,1.2,0.7,4.1,20.4,2000-01-01,2000
Shaquille O'Neal,LAL,74,39.5,28.7,11.0,19.2,57.2,0.0,0.0,0.0,6.7,13.1,51.3,3.9,8.8,12.7,3.7,0.6,2.8,2.9,31.0,2000-01-01,2000
Kobe Bryant,LAL,68,40.9,28.5,10.3,22.2,46.4,0.9,2.9,30.5,7.0,8.2,85.3,1.5,4.3,5.9,5.0,1.7,0.6,3.2,25.3,2000-01-01,2000
Vince Carter,TOR,75,39.7,27.6,10.2,22.1,46.0,2.2,5.3,40.8,5.1,6.7,76.5,2.3,3.2,5.5,3.9,1.5,1.1,2.2,23.9,2000-01-01,2000
Chris Webber,SAC,70,40.5,27.1,11.2,23.4,48.1,0.0,0.4,7.1,4.6,6.6,70.3,2.6,8.5,11.1,4.2,1.3,1.7,2.8,28.6,2000-01-01,2000
Tracy McGrady,ORL,77,40.1,26.8,10.2,22.4,45.7,0.8,2.2,35.5,5.6,7.6,73.3,2.5,5.0,7.5,4.6,1.5,1.5,2.6,25.2,2000-01-01,2000
Paul Pierce,BOS,82,38.0,25.3,8.4,18.5,45.4,1.8,4.7,38.3,6.7,9.0,74.5,1.1,5.2,6.4,3.1,1.7,0.8,3.2,21.7,2000-01-01,2000
Antawn Jamison,GSW,82,41.4,24.9,9.8,22.1,44.2,0.8,2.5,30.2,4.7,6.5,71.5,3.4,5.3,8.7,2.0,1.4,0.3,2.4,20.8,2000-01-01,2000
Stephon Marbury,NJN,67,38.2,23.9,8.4,19.1,44.1,1.6,5.0,32.8,5.4,6.8,79.0,0.8,2.3,3.1,7.6,1.2,0.1,2.9,20.7,2000-01-01,2000
Antoine Walker,BOS,81,41.9,23.4,8.8,21.2,41.3,2.7,7.4,36.7,3.1,4.3,71.6,1.9,7.0,8.9,5.5,1.7,0.6,3.7,22.6,2000-01-01,2000
Karl Malone,UTA,81,35.7,23.2,8.3,16.6,49.8,0.0,0.1,40.0,6.6,8.3,79.3,1.4,6.9,8.3,4.5,1.1,0.8,3.0,24.7,2000-01-01,2000
Gary Payton,SEA,79,41.1,23.1,9.2,20.1,45.6,1.3,3.4,37.5,3.4,4.5,76.6,0.9,3.6,4.6,8.1,1.6,0.3,2.6,23.1,2000-01-01,2000
Tim Duncan,SAS,82,38.7,22.2,8.6,17.1,49.9,0.1,0.3,25.9,5.0,8.1,61.8,3.2,9.0,12.2,3.0,0.9,2.3,3.0,25.9,2000-01-01,2000
Glenn Robinson,MIL,76,37.0,22.0,9.0,19.2,46.8,0.7,2.4,29.9,3.3,4.0,82.0,1.6,5.3,6.9,3.3,1.1,0.8,2.9,20.4,2000-01-01,2000
Kevin Garnett,MIN,81,39.5,22.0,8.7,18.2,47.7,0.2,0.8,28.8,4.4,5.8,76.4,2.7,8.7,11.4,5.0,1.4,1.8,2.8,27.8,2000-01-01,2000
