PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Allen Iverson,PHI,75,42.3,30.7,10.3,24.2,42.4,1.4,4.5,30.8,8.7,10.5,83.5,0.7,3.3,4,7.9,2.4,0.1,4.6,24.9
Kobe Bryant,LAL,66,40.7,27.6,8.7,20.1,43.3,2,5.9,33.9,8.2,10.1,81.6,1.4,4.5,5.9,6,1.3,0.8,4.1,24.3
LeBron James,CLE,80,42.4,27.2,9.9,21.1,47.2,1.4,3.9,35.1,6,8,75,1.4,6,7.4,7.2,2.2,0.7,3.3,28.2
Dirk Nowitzki,DAL,78,38.7,26.1,8.5,18.5,45.9,1.2,2.9,39.9,7.9,9.1,86.9,1.2,8.5,9.7,3.1,1.2,1.5,2.3,28.1
Amar'e Stoudemire,PHX,80,36.1,26,9.3,16.7,55.9,0,0.2,18.8,7.3,9.9,73.3,2.7,6.2,8.9,1.6,1,1.6,2.4,26.8
Tracy McGrady,HOU,78,40.8,25.7,9.2,21.3,43.1,1.8,5.6,32.6,5.5,7.1,77.4,0.9,5.3,6.2,5.7,1.7,0.7,2.6,23.7
Gilbert Arenas,WAS,80,40.9,25.5,8.2,19,43.1,2.6,7,36.5,6.5,8,81.4,1,3.7,4.7,5.1,1.7,0.3,3,22
Vince Carter,NJN,77,36.7,24.5,9,20,45.2,1.6,4.1,40.6,4.8,6,79.8,1.4,3.8,5.2,4.2,1.4,0.6,2.2,21.6
Dwyane Wade,MIA,77,38.6,24.1,8.2,17.1,47.8,0.2,0.6,28.9,7.5,9.9,76.2,1.4,3.7,5.2,6.8,1.6,1.1,4.2,23.2
Ray Allen,SEA,78,39.3,23.9,8.2,19.2,42.8,2.7,7.1,37.6,4.8,5.5,88.3,1,3.4,4.4,3.7,1.1,0.1,2.2,19.4
Michael Redd,MIL,75,38,23,8.3,18.9,44.1,1.4,3.9,35.5,4.9,5.8,85.4,1,3.2,4.2,2.3,0.8,0.1,1.8,17.2
Shaquille O'Neal,MIA,73,34.1,22.9,9,15,60.1,0,0,0,4.8,10.5,46.1,3.5,6.9,10.4,2.7,0.5,2.3,2.8,24.4
Corey Maggette,LAC,66,36.9,22.2,6.4,14.9,43.1,0.8,2.5,30.4,8.5,10,85.7,1.1,4.9,6,3.4,1.1,0.1,3,19.9
Kevin Garnett,MIN,82,38.1,22.2,8.3,16.6,50.2,0.1,0.3,24,5.4,6.7,81.1,3,10.5,13.5,5.7,1.5,1.4,2.7,32
Stephon Marbury,NYK,82,40,21.7,7.4,16,46.2,1.4,4,35.4,5.6,6.7,83.4,0.6,2.4,3,8.1,1.5,0.1,2.8,21.9
