repo_name,full_name,stars,language,username,date_created,open_issues,repo_url
AI-basketball-analysis,chonyy/AI-basketball-analysis,1242,Python,chonyy,2020-04-25T11:26:40Z,18,https://github.com/chonyy/AI-basketball-analysis
espn-api,cwendt94/espn-api,891,Python,cwendt94,2019-07-24T16:11:15Z,61,https://github.com/cwendt94/espn-api
SprintNBA,smuyyh/SprintNBA,634,Java,smuyyh,2016-06-05T14:08:45Z,6,https://github.com/smuyyh/SprintNBA
BasketballData,neilmj/BasketballData,212,Groff,neilmj,2015-06-08T21:11:22Z,3,https://github.com/neilmj/BasketballData
Dunk,naoyashiga/Dunk,939,Swift,naoyashiga,2015-10-11T04:26:09Z,2,https://github.com/naoyashiga/Dunk
basketballVideoAnalysis,stephanj/basketballVideoAnalysis,326,Jupyter Notebook,stephanj,2019-12-14T12:44:50Z,9,https://github.com/stephanj/basketballVideoAnalysis
AI-Basketball-Referee,ayushpai/AI-Basketball-Referee,355,Python,ayushpai,2022-07-30T01:09:55Z,1,https://github.com/ayushpai/AI-Basketball-Referee
react-native-basketball,FaridSafi/react-native-basketball,573,JavaScript,FaridSafi,2016-04-19T18:48:49Z,4,https://github.com/FaridSafi/react-native-basketball
basketball_reference_web_scraper,jaebradley/basketball_reference_web_scraper,544,HTML,jaebradley,2015-10-23T15:32:22Z,30,https://github.com/jaebradley/basketball_reference_web_scraper
BasketBall-GM-Rosters,alexnoob/BasketBall-GM-Rosters,154,,alexnoob,2014-05-02T17:03:26Z,5,https://github.com/alexnoob/BasketBall-GM-Rosters
basketball_reference_scraper,vishaalagartha/basketball_reference_scraper,289,Python,vishaalagartha,2020-01-07T20:23:37Z,37,https://github.com/vishaalagartha/basketball_reference_scraper
basketball,octonion/basketball,71,PLpgSQL,octonion,2012-11-11T23:09:13Z,1,https://github.com/octonion/basketball
fantasy-basketball,KengoA/fantasy-basketball,266,Jupyter Notebook,KengoA,2018-05-23T20:07:25Z,5,https://github.com/KengoA/fantasy-basketball
basketball_reference,FranGoitia/basketball_reference,97,Python,FranGoitia,2016-04-27T21:10:27Z,8,https://github.com/FranGoitia/basketball_reference
basketballcrawler,andrewgiessel/basketballcrawler,125,Jupyter Notebook,andrewgiessel,2013-03-04T15:07:07Z,6,https://github.com/andrewgiessel/basketballcrawler
