repo_name,username,stars,language,repo_url,date_created
AI-basketball-analysis,chonyy,1246,Python,https://github.com/chonyy/AI-basketball-analysis,2020-04-25T11:26:40Z
espn-api,cwendt94,892,Python,https://github.com/cwendt94/espn-api,2019-07-24T16:11:15Z
BasketballData,neilmj,212,Groff,https://github.com/neilmj/BasketballData,2015-06-08T21:11:22Z
SprintNBA,smuyyh,634,Java,https://github.com/smuyyh/SprintNBA,2016-06-05T14:08:45Z
Dunk,naoyashiga,939,Swift,https://github.com/naoyashiga/Dunk,2015-10-11T04:26:09Z
basketballVideoAnalysis,stephanj,326,Jupyter Notebook,https://github.com/stephanj/basketballVideoAnalysis,2019-12-14T12:44:50Z
AI-Basketball-Referee,ayushpai,355,Python,https://github.com/ayushpai/AI-Basketball-Referee,2022-07-30T01:09:55Z
react-native-basketball,FaridSafi,573,JavaScript,https://github.com/FaridSafi/react-native-basketball,2016-04-19T18:48:49Z
basketball_reference_web_scraper,jaebradley,544,HTML,https://github.com/jaebradley/basketball_reference_web_scraper,2015-10-23T15:32:22Z
BasketBall-GM-Rosters,alexnoob,154,,https://github.com/alexnoob/BasketBall-GM-Rosters,2014-05-02T17:03:26Z
basketball_reference_scraper,vishaalagartha,289,Python,https://github.com/vishaalagartha/basketball_reference_scraper,2020-01-07T20:23:37Z
basketball,octonion,71,PLpgSQL,https://github.com/octonion/basketball,2012-11-11T23:09:13Z
fantasy-basketball,KengoA,266,Jupyter Notebook,https://github.com/KengoA/fantasy-basketball,2018-05-23T20:07:25Z
basketball_reference,FranGoitia,97,Python,https://github.com/FranGoitia/basketball_reference,2016-04-27T21:10:27Z
basketballcrawler,andrewgiessel,125,Jupyter Notebook,https://github.com/andrewgiessel/basketballcrawler,2013-03-04T15:07:07Z
basketball_analysis,abdullahtarek,157,Jupyter Notebook,https://github.com/abdullahtarek/basketball_analysis,2025-01-30T08:15:44Z
Basketball_Analytics,danchyy,169,Jupyter Notebook,https://github.com/danchyy/Basketball_Analytics,2017-06-13T21:12:31Z
